date,soc_ics,soc_ice,soc_icc
2007-12-01,75.5,65.599999999999994,91
2008-01-01,78.400000000000006,68.099999999999994,94.400000000000006
2008-02-01,70.799999999999997,62.399999999999999,83.799999999999997
2008-03-01,69.5,60.100000000000001,84.200000000000003
2008-04-01,62.600000000000001,53.299999999999997,77
2008-05-01,59.799999999999997,51.100000000000001,73.299999999999997
2008-06-01,56.399999999999999,49.200000000000003,67.599999999999994
2008-07-01,61.200000000000003,53.5,73.099999999999994
2008-08-01,63,57.899999999999999,71
2008-09-01,70.299999999999997,67.200000000000003,75
2008-10-01,57.600000000000001,57,58.399999999999999
2008-11-01,55.299999999999997,53.899999999999999,57.5
2008-12-01,60.100000000000001,54,69.5
2009-01-01,61.200000000000003,57.799999999999997,66.5
2009-02-01,56.299999999999997,50.5,65.5
2009-03-01,57.299999999999997,53.5,63.299999999999997
2009-04-01,65.099999999999994,63.100000000000001,68.299999999999997
2009-05-01,68.700000000000003,69.400000000000006,67.700000000000003
2009-06-01,70.799999999999997,69.200000000000003,73.200000000000003
2009-07-01,66,63.200000000000003,70.5
2009-08-01,65.700000000000003,65,66.599999999999994
2009-09-01,73.5,73.5,73.400000000000006
2009-10-01,70.599999999999994,68.599999999999994,73.700000000000003
2009-11-01,67.400000000000006,66.5,68.799999999999997
2009-12-01,72.5,68.900000000000006,78
2010-01-01,74.400000000000006,70.099999999999994,81.099999999999994
2010-02-01,73.599999999999994,68.400000000000006,81.799999999999997
2010-03-01,73.599999999999994,67.900000000000006,82.400000000000006
2010-04-01,72.200000000000003,66.5,81
2010-05-01,73.599999999999994,68.799999999999997,81
2010-06-01,76,69.799999999999997,85.599999999999994
2010-07-01,67.799999999999997,62.299999999999997,76.5
2010-08-01,68.900000000000006,62.899999999999999,78.299999999999997
2010-09-01,68.200000000000003,60.899999999999999,79.599999999999994
2010-10-01,67.700000000000003,61.899999999999999,76.599999999999994
2010-11-01,71.599999999999994,64.799999999999997,82.099999999999994
2010-12-01,74.5,67.5,85.299999999999997
2011-01-01,74.200000000000003,69.299999999999997,81.799999999999997
2011-02-01,77.5,71.599999999999994,86.900000000000006
2011-03-01,67.5,57.899999999999999,82.5
2011-04-01,69.799999999999997,61.600000000000001,82.5
2011-05-01,74.299999999999997,69.5,81.900000000000006
2011-06-01,71.5,64.700000000000003,82
