dgp,window,model,predictor,M,mean,std,q_low,q_high
friedman1,rolling,enet,x6,1000,-0.008919256570736674,6.7148805176037e-05,-0.008956060928465324,-0.008848175999169705
friedman1,rolling,rf,x1,3,-1.3668344778876294,0.012951377374890646,-1.3756218307159391,-1.3556410912280472
friedman1,rolling,rf,x1,6,-1.3671049958751333,0.00502262184115729,-1.371282404646242,-1.3618876882582405
friedman1,rolling,rf,x1,8,-1.370552414637966,0.0036504078744659476,-1.372533805326554,-1.3670401382431954
friedman1,rolling,rf,x1,12,-1.3743432713236987,0.0039323881245271405,-1.378303796943496,-1.372458745791747
friedman1,rolling,rf,x1,18,-1.3720977850611764,0.005523057453260661,-1.3752630627467768,-1.3684728864941786
friedman1,rolling,rf,x1,30,-1.3736830237367164,0.003938556389307734,-1.3761897111016168,-1.3701392893559745
friedman1,rolling,rf,x1,40,-1.3722336860184026,0.0027710319451749992,-1.3742557208051,-1.3696400648526568
friedman1,rolling,rf,x1,60,-1.3728027889749288,0.002977301952633944,-1.374554635199163,-1.3694735732078402
friedman1,rolling,rf,x1,80,-1.3725927875938337,0.0028165599373513347,-1.3744676000033365,-1.3693096421911901
friedman1,rolling,rf,x1,100,-1.371765336640468,0.0020255475214535335,-1.3732183180837279,-1.3704192336422865
friedman1,rolling,rf,x1,200,-1.372016188436015,0.0013990323077373802,-1.3729536053112255,-1.3708788227748516
friedman1,rolling,rf,x1,500,-1.3723396108999788,0.00042183470456334663,-1.3728480530362395,-1.372081142609713
friedman1,rolling,rf,x1,1000,-1.3725523226575513,0.0006400780117374846,-1.3727957835431572,-1.3721809605537314
friedman1,rolling,rf,x2,3,-1.377362617034767,0.010523795255988143,-1.3852309594570404,-1.3677486527297695
friedman1,rolling,rf,x2,6,-1.372596199780538,0.00822772108232966,-1.3798328195241578,-1.3628989349817346
friedman1,rolling,rf,x2,8,-1.3720793792675186,0.0033487426690852677,-1.3747598451078913,-1.369251280570284
friedman1,rolling,rf,x2,12,-1.3679829804131818,0.0039862450062807375,-1.3718778723391463,-1.3636911574321209
