dgp,window,model,predictor,M,replicate,pbsv
threshold,rolling,enet,x3,12,2,0.0028631380628629057
threshold,rolling,enet,x4,12,2,0.027316667960650947
threshold,rolling,enet,x5,12,2,-0.00490182404045203
threshold,rolling,enet,x6,12,2,0.02073611913698849
threshold,rolling,rf,x1,12,2,-0.6365634850014278
threshold,rolling,rf,x2,12,2,-1.1965949925916315
threshold,rolling,rf,x3,12,2,-0.005687788944856535
threshold,rolling,rf,x4,12,2,0.007591688442293243
threshold,rolling,rf,x5,12,2,-0.01841463327546683
threshold,rolling,rf,x6,12,2,-0.0028481824442708192
threshold,rolling,xgboost,x1,12,2,-0.6843361035851858
threshold,rolling,xgboost,x2,12,2,-1.215788410190364
threshold,rolling,xgboost,x3,12,2,-0.009663011316155176
threshold,rolling,xgboost,x4,12,2,0.02400111670541827
threshold,rolling,xgboost,x5,12,2,-0.05608795694496349
threshold,rolling,xgboost,x6,12,2,0.0024111712469620703
threshold,rolling,enet,x1,12,3,0.02408802378909018
threshold,rolling,enet,x2,12,3,-0.5115665124500146
threshold,rolling,enet,x3,12,3,0.0028865523382526903
