horizon,model,predictor,structural_zero,source
1,nn_comb,fred_ipmat,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_ipdmat,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_ipnmat,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_ipmansics,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_ipb51222s,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_ipfuels,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_cumfns,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_hwi,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_hwiuratio,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_clf16ov,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_ce16ov,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_unrate,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_uempmean,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_uemplt5,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_uemp5to14,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_uemp15ov,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_uemp15t26,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_uemp27ov,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_claimsx,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_payems,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_usgood,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_ces1021000001,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_uscons,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_manemp,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_dmanemp,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_ndmanemp,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_srvprd,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_ustpu,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_uswtrade,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_ustrade,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_usfire,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_usgovt,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_ces0600000007,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_awotman,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_awhman,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_houst,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_houstne,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_houstmw,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_housts,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_houstw,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_permit,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_permitne,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_permitmw,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_permits,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_permitw,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_amdmnox,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_amdmuox,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_businvx,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_isratiox,False,all_retained_no_direct_invariance_evidence
